song_id,title,artist,genre,mood_tag,bpm,musical_key,camelot_key,energy,valence
111,Replay,Iyaz,Pop,Vibe,91,A Major,11B,7,8
112,Stay The Night,"Zedd, Hayley Williams",Pop,Vibe,128,Ab Major,4B,6,8
113,My Love,"Major Lazer, Wizkid, Wale, Dua Lipa",Pop,Vibe,115,G Major,9B,7,8
114,Fading Out,CYDEN,Pop,Chill,130,C Minor,5A,4,5
115,I Can Fvcking Tell,SAINt JHN,Pop,Chill,98,Bb Major,6B,3,4
116,We Found Love,"Twin, Rachel Perry, Deep Mage",Pop,Chill,118,Ab Major,4B,4,5
117,Save Your Tears,Boyce Avenue,Pop,Chill,116,G# Minor,1A,4,6
118,Forever,"Jessie Reyez, 6LACK",Pop,Chill,114,D Minor,7A,3,6
119,GO,"Kid Laroi, Juice WRLD",Pop,Chill,74,F# Major,2B,5,7
120,Guitar,Pink Sweat$,Pop,Chill,90,D Major,10B,4,7
121,The Light,Juice WRLD,Pop,Chill,170,A# Minor,3A,4,5
122,In The Mood,"THEY., Yung Bleu",Pop,Chill,88,E Minor,9A,3,4
123,Skin and Bones,070 Shake,Pop,Chill,116,C Major,8B,4,6
124,Danger to My Heart,Edreeszy,Pop,Chill,170,B Minor,10A,3,5
125,Ghost,Justin Bieber,Pop,Chill,154,D Major,10B,3,7
126,OceanEyes,Luusif,Pop,Chill,155,F Minor,4A,3,7
127,BIRDS OF A FEATHER,Billie Eilish,Pop,Chill,105,D Major,10B,4,8
128,Espresso,Sabrina Carpenter,Pop,Chill,104,C Major,8B,4,7
129,I See Fire,Ed Sheeran,Pop,Chill,76,A# Minor,3A,4,5
130,Physical,Dua Lipa,Pop,Workout,147,C Major,8B,9,8
131,See You Again,Miley Cyrus,Pop,Workout,139,A Minor,8A,8,8
132,S&M,Rihanna,Pop,Workout,128,C# Major,3B,8,8
133,Judas,Lady Gaga,Pop,Workout,131,A# Minor,3A,9,7
134,Last Friday Night (T.G.I.F),Katy Perry,Pop,Workout,126,D# Minor,2A,8,9
135,Danza Kuduro,"Don Omar, Lucenzo",Pop,Workout,130,C Major,8B,9,9
136,Antisocial,"Ed Sheeran, Travis Scott",Pop,Workout,152,F Minor,4A,8,5
137,The Middle,"Zedd, Maren Morris, Grey",Pop,Workout,107,G Major,9B,8,9
138,Timber,"Pitbull, Kesha",Pop,Workout,130,B Major,1B,9,8
139,Locked out of Heaven,Bruno Mars,Pop,Workout,144,F Major,7B,8,8
140,Genius,"Sia, Diplo, Labrinth, LSD",Pop,Workout,159,B Minor,10A,7,7
141,Love Yourself,Academy Killer,Pop,Workout,104,C Major,8B,8,7
142,Feel It Still,Portugal. The Man,Pop,Workout,158,C# Major,3B,9,8
143,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Pop,Workout,178,D Major,10B,9,9
144,Still into You,Paramore,Pop,Workout,136,F Major,7B,8,8
145,Bad Romance,Lady Gaga,Pop,Workout,119,C Major,8B,8,6
